标记点（置信度）,标记点,x坐标,y坐标,,
lower_leg 0.89,lower_leg ,2750,2020.5,,
joint 0.90,joint ,2539.5,1083.5,,
upper_leg 0.91,upper_leg ,2156.5,343.5,,
lower_leg 0.89,lower_leg ,2750,2020.5,,
joint 0.89,joint ,2539.5,1083.5,,
upper_leg 0.91,upper_leg ,2156.5,343.5,,
lower_leg 0.89,lower_leg ,2351.5,2122,,
upper_leg 0.91,upper_leg ,2036,373.5,,
joint 0.92,joint ,2336,1152.5,,
lower_leg 0.88,lower_leg ,2164,2152,,
upper_leg 0.90,upper_leg ,1961,381,,
joint 0.90,joint ,2206,1182.5,,
joint 0.87,joint ,2098.5,1199,,
lower_leg 0.89,lower_leg ,2006,2167,,
upper_leg 0.90,upper_leg ,1889,389,,
joint 0.88,joint ,2006.5,1201,,
lower_leg 0.91,lower_leg ,1868.5,2176.5,,
upper_leg 0.91,upper_leg ,1832.5,391,,
lower_leg 0.90,lower_leg ,1745,2176.5,,
upper_leg 0.91,upper_leg ,1784.5,387.5,,
joint 0.92,joint ,1928,1207,,
lower_leg 0.90,lower_leg ,1745,2176.5,,
upper_leg 0.91,upper_leg ,1784.5,387.5,,
joint 0.92,joint ,1928,1207,,
lower_leg 0.89,lower_leg ,1616.5,2201.5,,
upper_leg 0.89,upper_leg ,1703,382.5,,
joint 0.90,joint ,1806,1228.5,,
lower_leg 0.87,lower_leg ,1599.5,2212.5,,
upper_leg 0.90,upper_leg ,1669,391,,
joint 0.91,joint ,1765.5,1244,,
lower_leg 0.87,lower_leg ,1599.5,2212.5,,
upper_leg 0.90,upper_leg ,1669,391,,
joint 0.91,joint ,1765.5,1244,,
lower_leg 0.88,lower_leg ,1568,2223.5,,
joint 0.91,joint ,1707.5,1243,,
upper_leg 0.91,upper_leg ,1624.5,381.5,,
lower_leg 0.87,lower_leg ,1564,2228,,
joint 0.90,joint ,1686,1246.5,,
upper_leg 0.91,upper_leg ,1613,370.5,,
lower_leg 0.86,lower_leg ,1559.5,2231,,
joint 0.90,joint ,1679.5,1246.5,,
upper_leg 0.91,upper_leg ,1612.5,362.5,,
lower_leg 0.87,lower_leg ,1555,2236,,
joint 0.91,joint ,1664,1247.5,,
upper_leg 0.91,upper_leg ,1608,355.5,,
lower_leg 0.86,lower_leg ,1553.5,2239,,
joint 0.91,joint ,1659.5,1247.5,,
upper_leg 0.92,upper_leg ,1614,348.5,,
lower_leg 0.86,lower_leg ,1553.5,2239,,
joint 0.91,joint ,1659.5,1247.5,,
upper_leg 0.92,upper_leg ,1614,348.5,,
lower_leg 0.87,lower_leg ,1556,2242.5,,
joint 0.91,joint ,1656.5,1249,,
upper_leg 0.92,upper_leg ,1626.5,339,,
lower_leg 0.87,lower_leg ,1563.5,2243.5,,
joint 0.91,joint ,1667,1249,,
upper_leg 0.92,upper_leg ,1641,336.5,,
lower_leg 0.87,lower_leg ,1563.5,2243.5,,
joint 0.91,joint ,1667,1249,,
upper_leg 0.92,upper_leg ,1641,336.5,,
lower_leg 0.88,lower_leg ,1568.5,2245,,
joint 0.90,joint ,1684,1248.5,,
upper_leg 0.92,upper_leg ,1667,333,,
lower_leg 0.88,lower_leg ,1577.5,2242,,
joint 0.89,joint ,1701,1244.5,,
upper_leg 0.92,upper_leg ,1678.5,333.5,,
lower_leg 0.88,lower_leg ,1577.5,2242,,
joint 0.89,joint ,1701,1244.5,,
upper_leg 0.92,upper_leg ,1678.5,333.5,,
lower_leg 0.88,lower_leg ,1573.5,2240.5,,
joint 0.89,joint ,1701.5,1242.5,,
upper_leg 0.91,upper_leg ,1685.5,333,,
lower_leg 0.88,lower_leg ,1576.5,2242,,
joint 0.90,joint ,1705,1244.5,,
upper_leg 0.91,upper_leg ,1685.5,334.5,,
lower_leg 0.89,lower_leg ,1582,2244,,
joint 0.91,joint ,1714,1248,,
upper_leg 0.91,upper_leg ,1697,337,,
lower_leg 0.89,lower_leg ,1582,2244,,
joint 0.91,joint ,1714,1248,,
upper_leg 0.91,upper_leg ,1697,337,,
lower_leg 0.89,lower_leg ,1601,2240.5,,
joint 0.91,joint ,1741.5,1251,,
upper_leg 0.92,upper_leg ,1720.5,344,,
lower_leg 0.89,lower_leg ,1606.5,2239,,
joint 0.91,joint ,1753,1252,,
upper_leg 0.92,upper_leg ,1725,348.5,,
lower_leg 0.89,lower_leg ,1606.5,2239,,
joint 0.91,joint ,1753,1252,,
upper_leg 0.91,upper_leg ,1725,348.5,,
lower_leg 0.88,lower_leg ,1679,2215.5,,
joint 0.91,joint ,1876.5,1251.5,,
upper_leg 0.91,upper_leg ,1775,371,,
joint 0.88,joint ,1995.5,1242.5,,
upper_leg 0.90,upper_leg ,1845,386.5,,
lower_leg 0.90,lower_leg ,1753.5,2178,,
joint 0.88,joint ,1995.5,1242.5,,
upper_leg 0.90,upper_leg ,1845,386.5,,
lower_leg 0.90,lower_leg ,1753.5,2178,,
lower_leg 0.88,lower_leg ,1839,1993.5,,
upper_leg 0.90,upper_leg ,2039,368,,
joint 0.91,joint ,2320.5,1171.5,,
lower_leg 0.90,lower_leg ,1823.5,1903,,
joint 0.91,joint ,2418.5,1153,,
upper_leg 0.91,upper_leg ,2125,358,,
lower_leg 0.90,lower_leg ,1800,1823.5,,
upper_leg 0.91,upper_leg ,2168.5,358,,
joint 0.91,joint ,2464,1144,,
joint 0.90,joint ,2550,1140.5,,
lower_leg 0.91,lower_leg ,1772,1689,,
upper_leg 0.92,upper_leg ,2237.5,370,,
joint 0.90,joint ,2550,1140.5,,
lower_leg 0.91,lower_leg ,1772,1689,,
upper_leg 0.92,upper_leg ,2237.5,370,,
joint 0.89,joint ,2598.5,1125,,
lower_leg 0.90,lower_leg ,1766,1590,,
upper_leg 0.90,upper_leg ,2275,359.5,,
lower_leg 0.88,lower_leg ,1756,1554,,
joint 0.90,joint ,2603.5,1104.5,,
upper_leg 0.90,upper_leg ,2286,347.5,,
lower_leg 0.88,lower_leg ,1756,1554,,
joint 0.90,joint ,2603,1104.5,,
upper_leg 0.90,upper_leg ,2286,347.5,,
joint 0.90,joint ,2625,1085,,
lower_leg 0.91,lower_leg ,1747,1465,,
upper_leg 0.91,upper_leg ,2287.5,333,,
lower_leg 0.88,lower_leg ,1756,1426.5,,
joint 0.90,joint ,2648.5,1072.5,,
upper_leg 0.91,upper_leg ,2306,320.5,,
joint 0.90,joint ,2667,1061.5,,
lower_leg 0.90,lower_leg ,1769,1386,,
upper_leg 0.92,upper_leg ,2320.5,307,,
joint 0.89,joint ,2683,1051.5,,
lower_leg 0.89,lower_leg ,1772,1352.5,,
upper_leg 0.91,upper_leg ,2339,296.5,,
lower_leg 0.89,lower_leg ,1770.5,1349.5,,
joint 0.89,joint ,2684.5,1051.5,,
upper_leg 0.90,upper_leg ,2343.5,294,,
lower_leg 0.89,lower_leg ,1770.5,1349.5,,
joint 0.89,joint ,2684.5,1051.5,,
upper_leg 0.90,upper_leg ,2343.5,294,,
joint 0.89,joint ,2692,1062.5,,
lower_leg 0.89,lower_leg ,1797,1416,,
upper_leg 0.91,upper_leg ,2343.5,304,,
joint 0.88,joint ,2698.5,1073,,
lower_leg 0.91,lower_leg ,1820.5,1482,,
upper_leg 0.91,upper_leg ,2345.5,314,,
joint 0.88,joint ,2698.5,1073,,
lower_leg 0.91,lower_leg ,1820.5,1482,,
upper_leg 0.91,upper_leg ,2345.5,314,,
lower_leg 0.88,lower_leg ,1858,1657.5,,
joint 0.90,joint ,2659.5,1103,,
upper_leg 0.92,upper_leg ,2317,343,,
joint 0.89,joint ,2609.5,1125,,
upper_leg 0.91,upper_leg ,2276.5,357,,
lower_leg 0.91,lower_leg ,1873.5,1775,,
joint 0.91,joint ,2550,1154,,
upper_leg 0.91,upper_leg ,2228,374.5,,
lower_leg 0.91,lower_leg ,1889,1876.5,,
joint 0.91,joint ,2550,1153.5,,
upper_leg 0.91,upper_leg ,2228,374.5,,
lower_leg 0.91,lower_leg ,1889,1876.5,,
lower_leg 0.90,lower_leg ,1914,2037.5,,
joint 0.91,joint ,2428,1199.5,,
upper_leg 0.92,upper_leg ,2129.5,408.5,,
lower_leg 0.90,lower_leg ,1916,2084,,
joint 0.92,joint ,2372,1207.5,,
upper_leg 0.92,upper_leg ,2081,423,,
lower_leg 0.86,lower_leg ,1901.5,2112.5,,
joint 0.91,joint ,2336,1225,,
upper_leg 0.91,upper_leg ,2058,424.5,,
lower_leg 0.88,lower_leg ,1876.5,2145,,
joint 0.89,joint ,2289,1245,,
upper_leg 0.92,upper_leg ,2033,434.5,,
lower_leg 0.91,lower_leg ,1848.5,2180,,
joint 0.91,joint ,2234.5,1264,,
upper_leg 0.91,upper_leg ,2000,440,,
lower_leg 0.90,lower_leg ,1848.5,2180,,
joint 0.91,joint ,2234.5,1264,,
upper_leg 0.91,upper_leg ,2000,440,,
lower_leg 0.87,lower_leg ,1778.5,2209.5,,
joint 0.91,joint ,2128,1265,,
upper_leg 0.92,upper_leg ,1919,431.5,,
lower_leg 0.88,lower_leg ,1745.5,2225,,
joint 0.90,joint ,2064,1270,,
upper_leg 0.91,upper_leg ,1872,416.5,,
lower_leg 0.88,lower_leg ,1745.5,2225,,
joint 0.90,joint ,2064,1270,,
upper_leg 0.91,upper_leg ,1872,416.5,,
lower_leg 0.90,lower_leg ,1685.5,2234,,
joint 0.91,joint ,1942,1260,,
upper_leg 0.91,upper_leg ,1784,385,,
lower_leg 0.87,lower_leg ,1650.5,2237.5,,
joint 0.91,joint ,1864,1257,,
upper_leg 0.91,upper_leg ,1731.5,369,,
lower_leg 0.87,lower_leg ,1650.5,2237.5,,
joint 0.91,joint ,1864,1257,,
upper_leg 0.91,upper_leg ,1731.5,369,,
lower_leg 0.88,lower_leg ,1568,2242,,
joint 0.91,joint ,1711,1245,,
upper_leg 0.92,upper_leg ,1622,344,,
lower_leg 0.90,lower_leg ,1538,2243.5,,
joint 0.91,joint ,1646.5,1246,,
upper_leg 0.92,upper_leg ,1569,337.5,,
joint 0.91,joint ,1625,1248.5,,
upper_leg 0.91,upper_leg ,1549.5,338,,
lower_leg 0.91,lower_leg ,1532.5,2247,,
joint 0.91,joint ,1625,1248.5,,
upper_leg 0.91,upper_leg ,1549.5,338,,
lower_leg 0.91,lower_leg ,1532.5,2247,,
joint 0.90,joint ,1605.5,1247.5,,
lower_leg 0.91,lower_leg ,1520,2251.5,,
upper_leg 0.91,upper_leg ,1551,336,,
joint 0.90,joint ,1599.5,1247.5,,
lower_leg 0.91,lower_leg ,1517.5,2251.5,,
upper_leg 0.91,upper_leg ,1549,335.5,,
joint 0.91,joint ,1609.5,1250,,
lower_leg 0.91,lower_leg ,1528.5,2250,,
upper_leg 0.92,upper_leg ,1563.5,333.5,,
joint 0.91,joint ,1628,1250.5,,
lower_leg 0.91,lower_leg ,1536.5,2250,,
upper_leg 0.91,upper_leg ,1586,335,,
joint 0.91,joint ,1629.5,1250.5,,
lower_leg 0.91,lower_leg ,1536.5,2250,,
upper_leg 0.91,upper_leg ,1586,335,,
lower_leg 0.88,lower_leg ,1569,2247,,
joint 0.91,joint ,1677,1246,,
upper_leg 0.92,upper_leg ,1616,338.5,,
lower_leg 0.89,lower_leg ,1594,2244,,
joint 0.90,joint ,1718,1248,,
upper_leg 0.91,upper_leg ,1646.5,341.5,,
joint 0.89,joint ,1782.5,1250,,
lower_leg 0.91,lower_leg ,1634,2236,,
upper_leg 0.91,upper_leg ,1687.5,344,,
lower_leg 0.86,lower_leg ,1649.5,2229.5,,
joint 0.91,joint ,1837.5,1249.5,,
upper_leg 0.91,upper_leg ,1734.5,355,,
lower_leg 0.89,lower_leg ,1675,2223.5,,
upper_leg 0.91,upper_leg ,1764,369,,
joint 0.91,joint ,1877,1252.5,,
lower_leg 0.89,lower_leg ,1675,2223.5,,
upper_leg 0.91,upper_leg ,1764,369,,
joint 0.91,joint ,1877,1252.5,,
joint 0.89,joint ,2086,1241.5,,
lower_leg 0.89,lower_leg ,1811,2168.5,,
upper_leg 0.89,upper_leg ,1901.5,390,,
lower_leg 0.88,lower_leg ,1870,2108,,
upper_leg 0.90,upper_leg ,1989,385,,
joint 0.92,joint ,2217.5,1206,,
lower_leg 0.88,lower_leg ,1870,2108,,
upper_leg 0.90,upper_leg ,1989,385,,
joint 0.92,joint ,2217.5,1206,,
lower_leg 0.90,lower_leg ,1870.5,1931,,
joint 0.91,joint ,2417,1144,,
upper_leg 0.92,upper_leg ,2123.5,352.5,,
joint 0.89,joint ,2500,1103,,
lower_leg 0.90,lower_leg ,1867,1822,,
upper_leg 0.92,upper_leg ,2197,338.5,,
joint 0.89,joint ,2500,1103,,
lower_leg 0.90,lower_leg ,1867,1822,,
upper_leg 0.92,upper_leg ,2197,338.5,,
lower_leg 0.89,lower_leg ,1875,1635,,
upper_leg 0.90,upper_leg ,2300,319.5,,
joint 0.90,joint ,2648.5,1061.5,,
lower_leg 0.88,lower_leg ,1867,1564.5,,
joint 0.90,joint ,2676.5,1043,,
upper_leg 0.91,upper_leg ,2320.5,301.5,,
lower_leg 0.89,lower_leg ,1850,1500.5,,
joint 0.91,joint ,2693.5,1022.5,,
upper_leg 0.92,upper_leg ,2326.5,291,,
lower_leg 0.89,lower_leg ,1850,1500.5,,
joint 0.91,joint ,2693.5,1022.5,,
upper_leg 0.92,upper_leg ,2326.5,291,,
joint 0.89,joint ,2711,997,,
lower_leg 0.90,lower_leg ,1828,1395,,
upper_leg 0.92,upper_leg ,2342,267,,
joint 0.90,joint ,2717.5,986.5,,
upper_leg 0.90,upper_leg ,2345,254.5,,
lower_leg 0.91,lower_leg ,1820.5,1358.5,,
upper_leg 0.90,upper_leg ,2353,248.5,,
joint 0.90,joint ,2721.5,981,,
lower_leg 0.90,lower_leg ,1822,1336,,
upper_leg 0.90,upper_leg ,2358,247,,
joint 0.90,joint ,2723.5,982,,
lower_leg 0.91,lower_leg ,1823.5,1341.5,,
upper_leg 0.90,upper_leg ,2353,257,,
joint 0.90,joint ,2719,993,,
lower_leg 0.91,lower_leg ,1832.5,1377,,
upper_leg 0.90,upper_leg ,2353,257,,
joint 0.90,joint ,2719,993,,
lower_leg 0.91,lower_leg ,1832.5,1377,,
joint 0.89,joint ,2704.5,1019.5,,
upper_leg 0.91,upper_leg ,2340.5,285,,
lower_leg 0.92,lower_leg ,1836,1448,,
joint 0.89,joint ,2692.5,1035.5,,
upper_leg 0.91,upper_leg ,2331,294,,
lower_leg 0.92,lower_leg ,1834.5,1476.5,,
joint 0.89,joint ,2692.5,1036,,
upper_leg 0.91,upper_leg ,2331,294,,
lower_leg 0.92,lower_leg ,1834.5,1476.5,,
lower_leg 0.88,lower_leg ,1853,1611,,
joint 0.89,joint ,2656,1072.5,,
upper_leg 0.91,upper_leg ,2306.5,323,,
joint 0.89,joint ,2650,1077,,
lower_leg 0.91,lower_leg ,1887.5,1670,,
upper_leg 0.92,upper_leg ,2286,336.5,,
joint 0.89,joint ,2647,1079.5,,
lower_leg 0.91,lower_leg ,1923.5,1726.5,,
upper_leg 0.92,upper_leg ,2278.5,337.5,,
joint 0.89,joint ,2647,1079.5,,
lower_leg 0.91,lower_leg ,1923.5,1726.5,,
upper_leg 0.92,upper_leg ,2278.5,337.5,,
lower_leg 0.89,lower_leg ,1989,1894,,
upper_leg 0.90,upper_leg ,2247,365,,
joint 0.90,joint ,2593.5,1120,,
lower_leg 0.89,lower_leg ,2003.5,1970.5,,
upper_leg 0.89,upper_leg ,2204.5,386.5,,
joint 0.91,joint ,2528,1157,,
lower_leg 0.89,lower_leg ,2003.5,1970.5,,
upper_leg 0.89,upper_leg ,2204.5,386.5,,
joint 0.91,joint ,2528,1157,,
lower_leg 0.90,lower_leg ,1989,2067,,
joint 0.91,joint ,2426.5,1192.5,,
upper_leg 0.92,upper_leg ,2131,420.5,,
lower_leg 0.89,lower_leg ,1979.5,2114,,
joint 0.91,joint ,2362.5,1209,,
upper_leg 0.92,upper_leg ,2082.5,434.5,,
lower_leg 0.89,lower_leg ,1979.5,2114,,
joint 0.91,joint ,2364,1209,,
upper_leg 0.92,upper_leg ,2082.5,434.5,,
lower_leg 0.89,lower_leg ,1934,2189,,
upper_leg 0.90,upper_leg ,1986,461,,
joint 0.91,joint ,2233,1261.5,,
lower_leg 0.89,lower_leg ,1920.5,2192,,
upper_leg 0.90,upper_leg ,1967,458,,
joint 0.91,joint ,2212.5,1261,,
lower_leg 0.89,lower_leg ,1920.5,2192,,
upper_leg 0.90,upper_leg ,1967,458,,
joint 0.91,joint ,2212.5,1261,,
lower_leg 0.85,lower_leg ,1897,2206,,
upper_leg 0.90,upper_leg ,1945.5,451.5,,
joint 0.90,joint ,2168.5,1267,,
lower_leg 0.87,lower_leg ,1878.5,2206.5,,
joint 0.90,joint ,2142,1267,,
upper_leg 0.92,upper_leg ,1923.5,446.5,,
lower_leg 0.85,lower_leg ,1869,2209.5,,
joint 0.91,joint ,2117,1263,,
upper_leg 0.92,upper_leg ,1906,436,,
lower_leg 0.86,lower_leg ,1859.5,2212.5,,
joint 0.89,joint ,2098.5,1260.5,,
upper_leg 0.90,upper_leg ,1895.5,425,,
lower_leg 0.86,lower_leg ,1850,2215.5,,
joint 0.90,joint ,2070.5,1255.5,,
upper_leg 0.92,upper_leg ,1875,414.5,,
lower_leg 0.86,lower_leg ,1850,2215.5,,
joint 0.90,joint ,2070.5,1255.5,,
upper_leg 0.92,upper_leg ,1875,414.5,,
upper_leg 0.89,upper_leg ,1845.5,388,,
lower_leg 0.90,lower_leg ,1818.5,2225,,
joint 0.90,joint ,2006,1251.5,,
lower_leg 0.89,lower_leg ,1793.5,2225,,
upper_leg 0.90,upper_leg ,1817,377.5,,
joint 0.91,joint ,1956.5,1252,,
lower_leg 0.89,lower_leg ,1793.5,2225,,
upper_leg 0.90,upper_leg ,1817,377.5,,
joint 0.91,joint ,1956.5,1252,,
lower_leg 0.86,lower_leg ,1761,2233,,
upper_leg 0.89,upper_leg ,1758,365,,
joint 0.90,joint ,1878.5,1246,,
lower_leg 0.87,lower_leg ,1748.5,2236,,
upper_leg 0.89,upper_leg ,1755,358,,
joint 0.91,joint ,1858,1251.5,,
lower_leg 0.90,lower_leg ,1737.5,2237.5,,
upper_leg 0.90,upper_leg ,1743.5,354.5,,
joint 0.91,joint ,1842.5,1251.5,,
lower_leg 0.90,lower_leg ,1725,2240.5,,
joint 0.91,joint ,1812.5,1250.5,,
upper_leg 0.92,upper_leg ,1729.5,349.5,,
lower_leg 0.90,lower_leg ,1725,2240.5,,
joint 0.91,joint ,1812.5,1250.5,,
upper_leg 0.92,upper_leg ,1729.5,349.5,,
lower_leg 0.88,lower_leg ,1698.5,2250,,
upper_leg 0.91,upper_leg ,1703.5,352.5,,
joint 0.91,joint ,1761,1256,,
lower_leg 0.88,lower_leg ,1698.5,2251.5,,
upper_leg 0.91,upper_leg ,1691,349,,
joint 0.91,joint ,1753,1259.5,,
lower_leg 0.88,lower_leg ,1698.5,2251.5,,
upper_leg 0.91,upper_leg ,1691,349,,
joint 0.91,joint ,1753,1259.5,,
joint 0.90,joint ,1782.5,1258.5,,
lower_leg 0.90,lower_leg ,1714.5,2250,,
upper_leg 0.92,upper_leg ,1710.5,351,,
joint 0.90,joint ,1781.5,1258,,
lower_leg 0.90,lower_leg ,1712.5,2248.5,,
upper_leg 0.92,upper_leg ,1719,350,,
joint 0.90,joint ,1781.5,1258,,
lower_leg 0.90,lower_leg ,1712.5,2248.5,,
upper_leg 0.92,upper_leg ,1719,350,,
lower_leg 0.91,lower_leg ,1731.5,2243.5,,
joint 0.91,joint ,1814,1254,,
upper_leg 0.91,upper_leg ,1742,349,,
upper_leg 0.91,upper_leg ,1762.5,347,,
lower_leg 0.91,lower_leg ,1732.5,2243.5,,
joint 0.91,joint ,1831,1251,,
lower_leg 0.90,lower_leg ,1717.5,2248.5,,
upper_leg 0.90,upper_leg ,1748.5,350,,
joint 0.91,joint ,1803,1253,,
lower_leg 0.90,lower_leg ,1719,2245.5,,
joint 0.90,joint ,1800,1254,,
upper_leg 0.91,upper_leg ,1734,348.5,,
lower_leg 0.90,lower_leg ,1719,2245.5,,
joint 0.90,joint ,1800,1254,,
upper_leg 0.91,upper_leg ,1734,348.5,,
lower_leg 0.90,lower_leg ,1723.5,2243.5,,
upper_leg 0.91,upper_leg ,1743.5,352,,
joint 0.91,joint ,1806.5,1255,,
upper_leg 0.90,upper_leg ,1756,351,,
lower_leg 0.91,lower_leg ,1731.5,2243.5,,
joint 0.91,joint ,1818.5,1254.5,,
upper_leg 0.91,upper_leg ,1764,350,,
lower_leg 0.91,lower_leg ,1733,2242,,
joint 0.91,joint ,1823.5,1255.5,,
upper_leg 0.90,upper_leg ,1766,350,,
lower_leg 0.91,lower_leg ,1734.5,2242,,
joint 0.91,joint ,1828,1249.5,,
upper_leg 0.90,upper_leg ,1766,350,,
lower_leg 0.91,lower_leg ,1734.5,2242,,
joint 0.91,joint ,1828,1249.5,,
upper_leg 0.90,upper_leg ,1755,353.5,,
lower_leg 0.91,lower_leg ,1728,2242,,
joint 0.91,joint ,1815.5,1253.5,,
upper_leg 0.90,upper_leg ,1747,355,,
lower_leg 0.90,lower_leg ,1726.5,2242,,
joint 0.91,joint ,1812.5,1253.5,,
upper_leg 0.90,upper_leg ,1747,355,,
lower_leg 0.90,lower_leg ,1726.5,2242,,
joint 0.91,joint ,1812.5,1253.5,,
lower_leg 0.90,lower_leg ,1717.5,2246.5,,
joint 0.90,joint ,1800,1253,,
upper_leg 0.91,upper_leg ,1727,354.5,,
joint 0.90,joint ,1795.5,1254.5,,
lower_leg 0.90,lower_leg ,1713.5,2246.5,,
upper_leg 0.91,upper_leg ,1722,357.5,,
joint 0.90,joint ,1780,1259.5,,
lower_leg 0.90,lower_leg ,1712.5,2247,,
upper_leg 0.91,upper_leg ,1713,358.5,,
joint 0.90,joint ,1780,1259.5,,
lower_leg 0.90,lower_leg ,1712.5,2247,,
upper_leg 0.91,upper_leg ,1713,358.5,,
joint 0.90,joint ,1783,1259.5,,
lower_leg 0.90,lower_leg ,1718,2245.5,,
upper_leg 0.91,upper_leg ,1706,358.5,,
joint 0.91,joint ,1809,1254.5,,
lower_leg 0.91,lower_leg ,1731.5,2243.5,,
upper_leg 0.91,upper_leg ,1723.5,357.5,,
joint 0.91,joint ,1818.5,1254.5,,
lower_leg 0.91,lower_leg ,1736,2242,,
upper_leg 0.92,upper_leg ,1731,354,,
lower_leg 0.89,lower_leg ,1739,2240.5,,
upper_leg 0.91,upper_leg ,1737,359.5,,
joint 0.91,joint ,1831.5,1255.5,,
lower_leg 0.86,lower_leg ,1754.5,2236,,
upper_leg 0.89,upper_leg ,1750,361.5,,
joint 0.91,joint ,1848.5,1254.5,,
lower_leg 0.86,lower_leg ,1754.5,2236,,
upper_leg 0.89,upper_leg ,1750,361.5,,
joint 0.91,joint ,1848.5,1254.5,,
lower_leg 0.88,lower_leg ,1786,2222,,
upper_leg 0.90,upper_leg ,1775,374.5,,
joint 0.90,joint ,1907.5,1250,,
lower_leg 0.85,lower_leg ,1798.5,2215.5,,
joint 0.90,joint ,1920,1246.5,,
upper_leg 0.92,upper_leg ,1781,381,,
lower_leg 0.85,lower_leg ,1798.5,2215.5,,
joint 0.90,joint ,1920,1246.5,,
upper_leg 0.92,upper_leg ,1781,381,,
lower_leg 0.89,lower_leg ,1917,2186,,
upper_leg 0.90,upper_leg ,1870.5,393,,
joint 0.90,joint ,2081.5,1235,,
upper_leg 0.91,upper_leg ,1942,398.5,,
lower_leg 0.91,lower_leg ,2072,2167,,
joint 0.93,joint ,2194,1218,,
upper_leg 0.91,upper_leg ,1942,398.5,,
lower_leg 0.91,lower_leg ,2072,2167,,
joint 0.93,joint ,2194,1218,,
lower_leg 0.88,lower_leg ,2462.5,2095,,
upper_leg 0.90,upper_leg ,2070,374,,
joint 0.91,joint ,2420.5,1150,,
lower_leg 0.91,lower_leg ,2636,2052,,
upper_leg 0.91,upper_leg ,2136,360.5,,
joint 0.92,joint ,2528,1107,,
lower_leg 0.90,lower_leg ,2779.5,2012.5,,
joint 0.90,joint ,2611,1081,,
upper_leg 0.91,upper_leg ,2195,348.5,,
joint 0.90,joint ,2611,1081,,
lower_leg 0.90,lower_leg ,2779.5,2012.5,,
upper_leg 0.91,upper_leg ,2195,348.5,,
lower_leg 0.90,lower_leg ,2978,1953,,
joint 0.90,joint ,2720,1047,,
upper_leg 0.91,upper_leg ,2264,339.5,,
joint 0.89,joint ,2746.5,1036,,
lower_leg 0.90,lower_leg ,3037.5,1936,,
upper_leg 0.91,upper_leg ,2279.5,338.5,,
joint 0.89,joint ,2746.5,1036,,
lower_leg 0.90,lower_leg ,3037.5,1936,,
upper_leg 0.91,upper_leg ,2279.5,338.5,,
lower_leg 0.89,lower_leg ,3120.5,1895,,
upper_leg 0.92,upper_leg ,2309.5,329.5,,
joint 0.92,joint ,2795.5,1008,,
lower_leg 0.88,lower_leg ,3166,1870.5,,
joint 0.91,joint ,2820.5,990,,
upper_leg 0.92,upper_leg ,2318.5,318.5,,
lower_leg 0.89,lower_leg ,3199.5,1852,,
joint 0.91,joint ,2838,976.5,,
upper_leg 0.91,upper_leg ,2333,305,,
lower_leg 0.89,lower_leg ,3199.5,1852,,
joint 0.91,joint ,2838,976.5,,
upper_leg 0.91,upper_leg ,2333,305,,
lower_leg 0.89,lower_leg ,3222,1844,,
upper_leg 0.90,upper_leg ,2344,297.5,,
joint 0.91,joint ,2848.5,971,,
lower_leg 0.90,lower_leg ,3228,1847,,
upper_leg 0.90,upper_leg ,2344,302,,
joint 0.91,joint ,2848.5,980.5,,
lower_leg 0.89,lower_leg ,3240,1844,,
joint 0.89,joint ,2858,982,,
upper_leg 0.90,upper_leg ,2353,303,,
lower_leg 0.86,lower_leg ,3254,1843.5,,
upper_leg 0.90,upper_leg ,2362.5,300,,
joint 0.92,joint ,2875,977,,
lower_leg 0.86,lower_leg ,3254,1843.5,,
upper_leg 0.90,upper_leg ,2362.5,300,,
joint 0.92,joint ,2875,977,,
lower_leg 0.84,lower_leg ,3246.5,1859.5,,
joint 0.90,joint ,2882.5,991.5,,
upper_leg 0.91,upper_leg ,2373.5,305,,
lower_leg 0.90,lower_leg ,3237.5,1871.5,,
upper_leg 0.91,upper_leg ,2370.5,311.5,,
joint 0.91,joint ,2870.5,994.5,,
lower_leg 0.90,lower_leg ,3237.5,1871.5,,
upper_leg 0.91,upper_leg ,2370.5,311.5,,
joint 0.91,joint ,2870.5,994.5,,
lower_leg 0.88,lower_leg ,3216,1892,,
joint 0.92,joint ,2856,1007,,
upper_leg 0.92,upper_leg ,2367.5,324,,
lower_leg 0.88,lower_leg ,3184,1905,,
upper_leg 0.92,upper_leg ,2362.5,327,,
joint 0.93,joint ,2848.5,1017,,
lower_leg 0.88,lower_leg ,3143.5,1928,,
joint 0.91,joint ,2828,1036,,
upper_leg 0.91,upper_leg ,2348.5,335.5,,
lower_leg 0.87,lower_leg ,2987.5,1997,,
upper_leg 0.90,upper_leg ,2293.5,355,,
joint 0.93,joint ,2737.5,1078.5,,
lower_leg 0.88,lower_leg ,2900,2032.5,,
upper_leg 0.89,upper_leg ,2253,373.5,,
joint 0.92,joint ,2665.5,1098.5,,
joint 0.89,joint ,2603,1128.5,,
upper_leg 0.90,upper_leg ,2209.5,385.5,,
lower_leg 0.90,lower_leg ,2820.5,2056,,
lower_leg 0.89,lower_leg ,2758,2081,,
upper_leg 0.90,upper_leg ,2172,398.5,,
joint 0.91,joint ,2559.5,1145,,
lower_leg 0.87,lower_leg ,2689,2097,,
upper_leg 0.90,upper_leg ,2156,403,,
joint 0.91,joint ,2539,1154,,
lower_leg 0.87,lower_leg ,2689,2097,,
upper_leg 0.90,upper_leg ,2156,403,,
